Product,Category,Icon,Aldi,Coles,Tags
Apples,fruit,apples.png,true,true,
Bananas,fruit,,true,true,
Oranges,fruit,,true,true,
Mandarins,fruit,,true,true,
Lemon,fruit,,true,true,
Lime,fruit,,true,true,
Brown Onions,veggies,,true,true,vegetables
Red Onions,veggies,,true,true,vegetables
Garlic,veggies,,true,true,vegetables
Broccoli,veggies,,true,true,vegetables
Broccolini,veggies,,true,true,vegetables
Green beans,veggies,,true,true,vegetables
Mushrooms,veggies,,true,true,vegetables
Potatoes,veggies,,true,true,vegetables
Carrots,veggies,carrots.png,true,true,vegetables
Red capsicum,veggies,redcapsicum.png,true,true,vegetables
Green capsicum,veggies,,true,true,vegetables
Zucchini,veggies,,true,true,vegetables
Parsley,veggies,,true,true,vegetables herbs
Ginger,veggies,,true,true,vegetables spices
Frozen peas,freezer,,true,true,veggies vegetables
Frozen corn,freezer,cornkernels.png,true,true,veggies vegetables
Meat pies,freezer,,true,true,
Frozen strawberry,freezer,,true,true,fruit
Frozen blueberry,freezer,,true,true,fruit
Frozen mango,freezer,mango.png,true,true,fruit
Ice cream,freezer,,true,true,dessert
Bacon,meat,bacon.png,true,true,pork
Hot dogs,meat,,true,false,pork
Chicken breast,meat,,true,true,
Beef mince,meat,,true,true,
Pork + beef mince,meat,,true,true,
Steak,meat,steak.png,true,true,beef
Casserole beef,meat,,true,true,
Ham,meat,,true,true,pork
Sliced tasty,dairy,,true,true,cheese
Plastic cheese,dairy,,true,false,cheese
Grated tasty,dairy,,true,true,cheese
Grated mozzarella,dairy,,true,true,cheese
Yoghurt,dairy,,false,true,
Table spread,dairy,tablespread.png,true,false,butter
Butter,dairy,butter.png,true,true,
Milk,dairy,,true,true,
Sour cream,dairy,,true,true,
Orange juice,juice,,true,true,
Eggs,eggs,,true,true,
Floss picks,personal care,flosspick.png,true,true,dental teeth
Makeup removal pads,personal care,makeup-removers.png,true,true,
Sensodyne toothpaste,personal care,sensodyne.png,true,true,dental teeth
Colgate toothpaste,personal care,colgate.png,true,true,dental teeth
Toothbrush heads,personal care,,true,true,dental teeth
Electrolyte tablets,health,electrolytetablet.png,true,true,
Vitamin C tablets,health,,true,true,
Vaporub,health,vaporub.png,false,true,
Throat lozenges,health,,false,true,
Bandaids,health,,false,true,bandages
Toilet paper,household,,true,true,bathroom
Paper towel,household,papertowel.png,true,true,cleaning kitchen
Dishwasher powder,household,,true,false,kitchen
Dish sponge,household,sponge.png,true,true,cleaning kitchen
Nitrile gloves,household,nitrilegloves.png,false,true,cleaning
Foam soap refill,household,,true,false,bathroom kitchen
Stain remover,household,,true,true,cleaning laundry
Laundry powder,household,,true,true,cleaning clothes washing
Protein bars,snacks,,true,false,
Popcorn,snacks,,false,true,
Corn chips,snacks,,false,true,mexican
Nacho chips,snacks,,false,true,corn chips mexican
Cookies,snacks,,false,true,
Gummy worms,snacks,gummyworms.png,true,true,
Rice crackers,snacks,,true,false,
Cola,drinks,,true,true,pepsi
Hot chocolate,drinks,hotchoc.png,false,true,
Mother,drinks,mother.png,false,true,energy drinks
Flying power,drinks,,true,false,energy drinks
Cocoa bombs,cereal,cocoabombs.png,false,true,chocolate
Fruity rings,cereal,fruityrings.png,true,false,
Rice,grains and pasta,,true,true,
Spiral pasta,grains and pasta,,true,true,
Penne pasta,grains and pasta,,true,true,
Spaghetti,grains and pasta,,true,true,
Hard tacos,grains and pasta,,false,true,mexican
Soft tacos,grains and pasta,,false,true,mexican
GF bread crumbs,grains and pasta,,false,true,
Rice noodles,grains and pasta,,true,false,
GF bread,bread,,true,false,
Bread,bread,,true,true,
Green curry paste,sauces,,true,true,thai
Red curry paste,sauces,,true,true,thai
Massaman curry paste,sauces,,true,true,
Hoisin sauce,sauces,,false,true,
Balsamic vinegar,sauces,,false,true,
Salsa,sauces,,false,true,mexican
Tomato paste,sauces,,true,true,
Kewpie,sauces,kewpie.png,false,true,mayo
Kewpie Sriracha,sauces,kewpiesriracha.png,false,true,mayo
Tomato sauce,sauces,tomatosauce.png,true,false,red
American mustard,sauces,mustard.png,false,true,yellow mustard
Wholegrain mustard,sauces,,true,true,
Dijon mustard,sauces,,true,true,
Mayo,sauces,,true,true,
Soy sauce,sauces,,false,true,
Worcestershire sauce,sauces,,true,true,
Fish sauce,sauces,,false,true,
Oyster sauce,sauces,,false,true,
Lemon juice,sauces,,true,true,
Lime juice,sauces,,true,true,
Chicken stock,sauces,,true,true,
Black beans,canned,,true,true,
Pinto beans,canned,,true,true,
